bill_id,model,session,classification,jurisdiction,jurisdiction_code,introduced_chamber,title,first_date,curated,has_ai_ads,has_government_scope,has_ai_governance_body,has_harmonization,ai_governance_body_names,excerpt_government_scope,excerpt_harmonization
VA_[2024]_SB-173,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,Senate,Adult day care centers; name changes to adult day centers throughout the Code.,2024-01-07,True,True,False,False,False,,,
VA_[2024]_SB-164,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,Senate,"Virginia Consumer Protection Act; prohibited practices, artificial intelligence disclosure.",2024-01-07,True,True,False,False,False,,,
VA_[2024]_HB-664,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,House,"Abortion; born alive infant, treatment and care, penalty.",2024-01-09,True,True,False,False,False,,,
VA_[2024]_SB-385,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,Senate,Artificial intelligence technology; use in education.,2024-01-09,True,True,False,False,False,,,
VA_[2024]_SB-392,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,Senate,Hospitals; emergency departments to have at least one licensed physician on duty at all times.,2024-01-09,True,True,False,False,False,,,
VA_[2024]_HB-886,gpt-3.5-turbo-0125,2024,['bill'],Virginia,VA,House,"Certified nursing facilities; administrative sanctions, facilities subject to minimum standards.",2024-01-09,True,True,False,False,False,,,
SC_[2023-2024]_S-404,gpt-3.5-turbo-0125,2023-2024,['bill'],South Carolina,SC,Senate,Social media regulation,2023-01-18,True,True,False,False,False,,,
SC_[2023-2024]_H-4660,gpt-3.5-turbo-0125,2023-2024,['bill'],South Carolina,SC,House,Deceptive and fraudulent deepfake media in elections,2023-12-14,True,True,False,False,False,,,
UT_[2024]_HB-329,gpt-3.5-turbo-0125,2024,['bill'],Utah,UT,House,Artificial Intelligence in Political Advertising,2024-01-18,True,True,False,False,False,,,
UT_[2024]_SB-131,gpt-3.5-turbo-0125,2024,['bill'],Utah,UT,Senate,S.B. 131 Information Technology Act Amendments,2024-01-22,True,True,False,False,False,,,
UT_[2024]_SB-149,gpt-3.5-turbo-0125,2024,['bill'],Utah,UT,Senate,Artificial Intelligence Amendments,2024-01-25,True,True,False,False,False,,,
GA_[2023_24]_SB-392,gpt-3.5-turbo-0125,2023_24,['bill'],Georgia,GA,Senate,Elections; criminal offense of election interference with a deep fake and solicitation; establish,2024-01-24,True,True,False,False,False,,,
GA_[2023_24]_HR-381,gpt-3.5-turbo-0125,2023_24,['resolution'],Georgia,GA,House,Seckinger High School; inaugural year; innovative artificial intelligence education; honor,2023-03-01,True,True,False,False,False,,,
GA_[2023_24]_HB-988,gpt-3.5-turbo-0125,2023_24,['bill'],Georgia,GA,House,Georgia Technology Authority; annual inventory of artificial intelligence usage by state agencies; provide,2024-01-22,True,True,True,False,False,,"the authority shall:
(1) not later than december 31, 2024, and annually thereafter, conduct an inventory of
all systems that employ artificial intelligence and are in use by any agency.",
GA_[2023_24]_HB-890,gpt-3.5-turbo-0125,2023_24,['bill'],Georgia,GA,House,Laws and statutes; artificial intelligence and automated decision tools; provide for protections against discrimination,2024-01-09,True,True,False,False,False,,,
GA_[2023_24]_HB-887,gpt-3.5-turbo-0125,2023_24,['bill'],Georgia,GA,House,Insurance; use of artificial intelligence in making certain decisions regarding coverage; prohibit,2024-01-09,True,True,False,False,False,,,
GA_[2023_24]_SR-476,gpt-3.5-turbo-0125,2023_24,['resolution'],Georgia,GA,Senate,Senate Study Committee on Artificial Intelligence; create,2024-01-24,True,True,True,False,False,,"it is important that this state establish policies and procedures concerning the development, procurement, implementation, utilization, and ongoing assessment of systems that employ ai and are in use by state agencies",
GA_[2023_24]_HB-986,gpt-3.5-turbo-0125,2023_24,['bill'],Georgia,GA,House,Elections; election interference with a deep fake; establish criminal offense,2024-01-22,True,True,False,False,False,,,
MS_[2024]_SB-2062,gpt-3.5-turbo-0125,2024,['bill'],Mississippi,MS,Senate,Artificial Intelligence in Education Task Force Act; enact.,2024-01-18,True,True,False,False,False,,,
MT_[2023]_HB-690,gpt-3.5-turbo-0125,2023,['bill'],Montana,MT,House,Generally revise pupil data privacy protections,2023-01-17,True,False,False,False,False,,,
MO_[2024]_SB-1444,gpt-3.5-turbo-0125,2024,['bill'],Missouri,MO,Senate,Creates provisions relating to digitally altered media,2024-02-22,True,True,False,False,False,,,
MO_[2024]_HB-2628,gpt-3.5-turbo-0125,2024,['bill'],Missouri,MO,House,Modifies provisions relating to electronic communications,2024-02-05,True,True,False,False,False,,,
MA_[193rd]_HD-676,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,House,An Act regulating the use of artificial intelligence (AI) in providing mental health services,2023-01-18,True,True,False,False,False,,,
MA_[193rd]_HD-4265,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,House,Special report of the Special Commission to Evaluate Government Use of Facial Recognition Technology (under Section 105 of Chapter 253 of the Acts of 2020 and most recently revived and continued by Section70 of Chapter 2 of the Acts of 2023) submitting its final report and appendices,2023-04-10,True,True,True,False,False,,"The bill contains provisions regarding the use of facial recognition technology by government entities, specifically focusing on law enforcement use and regulations.",
MA_[193rd]_S-31,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,Senate,An Act drafted with the help of ChatGPT to regulate generative artificial intelligence models like ChatGPT,2023-02-16,True,False,False,False,False,,,
MA_[193rd]_SD-1827,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,Senate,An Act drafted with the help of ChatGPT to regulate generative artificial intelligence models like ChatGPT,2023-01-20,True,False,False,False,False,,,
MA_[193rd]_HD-2298,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,House,An Act to protect against deep fakes used to facilitate criminal or torturous conduct,2023-01-20,True,True,False,False,False,,,
MA_[193rd]_SD-2225,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,Senate,An Act to promote transparency of facial recognition and driver's license photos,2023-01-21,True,False,False,False,False,,,
MA_[193rd]_S-1551,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,Senate,An Act to promote transparency of facial recognition and driver's license photos,2023-02-16,True,False,False,False,False,,,
MA_[193rd]_H-4242,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,House,An Act to provide for the future information technology needs of Massachusetts,2024-01-10,True,True,False,False,False,,,
MA_[193rd]_H-4359,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,House,An Act to implement the recommendations of the special commission on facial recognition technology,2024-02-12,True,False,False,False,False,,,
MA_[193rd]_HD-2304,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,House,An Act to implement the recommendations of the special commission on facial recognition technology,2023-01-20,True,False,False,False,False,,,
MA_[193rd]_H-64,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,House,An Act establishing a commission on automated decision-making by government in the Commonwealth,2023-02-16,True,True,True,False,False,,a bill has government scope if it governs the government's use of artificial intelligence (AI) or automated decision systems (ADS) in its operations.,
MA_[193rd]_H-1728,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,House,An Act to implement the recommendations of the special commission on facial recognition technology,2023-02-16,True,False,False,False,False,,,
MA_[193rd]_H-72,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,House,An Act to protect against deep fakes used to facilitate criminal or torturous conduct,2023-02-16,True,True,False,False,False,,,
MA_[193rd]_H-1974,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,House,An Act regulating the use of artificial intelligence (AI) in providing mental health services,2023-02-16,True,True,False,False,False,,,
MA_[193rd]_HD-4788,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,House,An Act relative to artificial intelligence disclosure,2024-01-12,True,True,False,False,False,,,
MA_[193rd]_S-927,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,Senate,An Act to implement the recommendations of the special commission on facial recognition technology,2023-02-16,True,False,False,False,False,,,
MA_[193rd]_S-2539,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,Senate,An Act relative to cybersecurity and artificial intelligence,2023-12-28,True,True,True,False,False,,an act relative to cybersecurity and artificial intelligence,
MA_[193rd]_SD-2932,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,Senate,An Act relative to deceptive and fraudulent deepfakes in election communications,2024-01-05,True,True,False,False,False,,,
MA_[193rd]_H-4406,gpt-3.5-turbo-0125,193rd,['bill'],Massachusetts,MA,House,An Act establishing a task force on the use of deepfake and digital content forgery,2024-02-22,True,True,False,False,False,,,
AK_[33]_SB-177,gpt-3.5-turbo-0125,33,['bill'],Alaska,AK,Senate,An Act relating to artificial intelligence; requiring disclosure of deepfakes in campaign communications; relating to cybersecurity; and relating to data privacy.,2024-01-13,True,True,True,False,False,,article 7. use by state agencies of artificial intelligence and data about individuals.,
AK_[33]_HB-306,gpt-3.5-turbo-0125,33,['bill'],Alaska,AK,House,An Act relating to artificial intelligence; requiring disclosure of deepfakes in campaign communications; relating to cybersecurity; and relating to data privacy.,2024-02-02,True,True,True,False,False,,article 7. use by state agencies of artificial intelligence and data about individuals.,
KY_[2024RS]_SB-52,gpt-3.5-turbo-0125,2024RS,['bill'],Kentucky,KY,Senate,AN ACT relating to technology in education and declaring an emergency.,2024-01-02,True,True,False,False,False,,,
KY_[2024RS]_HCR-38,gpt-3.5-turbo-0125,2024RS,['concurrent resolution'],Kentucky,KY,House,A CONCURRENT RESOLUTION relating to the establishment of the Artificial Intelligence Task Force to study the impact of artificial intelligence on operation and procurement policies of Kentucky government agencies and consumer protection needed in private and public sectors.,2024-01-09,True,True,True,False,False,,a bill has government scope if it governs the government's use of artificial intelligence (AI) or automated decision systems (ADS) in its operations.,
KY_[2024RS]_SB-131,gpt-3.5-turbo-0125,2024RS,['bill'],Kentucky,KY,Senate,AN ACT relating to elections and declaring an emergency.,2024-01-25,True,False,False,False,False,,,
KY_[2024RS]_HB-45,gpt-3.5-turbo-0125,2024RS,['bill'],Kentucky,KY,House,AN ACT relating to privacy protection.,2024-01-02,True,False,False,False,False,,,
KY_[2024RS]_SB-180,gpt-3.5-turbo-0125,2024RS,['bill'],Kentucky,KY,Senate,AN ACT relating to violations of privacy.,2024-02-06,True,False,False,False,False,,,
NH_[2024]_HB-1500,gpt-3.5-turbo-0125,2024,['bill'],New Hampshire,NH,House,relative to prohibiting the unlawful distribution of misleading synthetic media.,2023-12-11,True,True,False,False,False,,,
NH_[2024]_HB-1432,gpt-3.5-turbo-0125,2024,['bill'],New Hampshire,NH,House,relative to prohibiting certain uses of artificial intelligence and creating a private claim of action.,2023-12-06,True,True,False,False,False,,,
NH_[2024]_HB-1688,gpt-3.5-turbo-0125,2024,['bill'],New Hampshire,NH,House,relative to the use of artificial intelligence by state agencies.,2023-12-15,True,True,True,False,False,,"This chapter shall apply to all computer systems operated by any state agency as defined in rsa 5-d:1, iv.",
NH_[2024]_HB-1599,gpt-3.5-turbo-0125,2024,['bill'],New Hampshire,NH,House,relative to the use of artificial intelligence for personal defense.,2023-12-15,True,True,False,False,False,,,
NH_[2024]_HB-1710,gpt-3.5-turbo-0125,2024,['bill'],New Hampshire,NH,House,relative to civil actions regarding the prohibited use of synthetic media.,2023-12-19,True,True,False,False,False,,,
NH_[2024]_HB-1596,gpt-3.5-turbo-0125,2024,['bill'],New Hampshire,NH,House,requiring a disclosure of deceptive artificial intelligence usage in political advertising.,2023-12-15,True,True,False,False,False,,,
MN_[2023-2024]_SF-1394,gpt-3.5-turbo-0125,2023-2024,['bill'],Minnesota,MN,Senate,Cause of action establishment for nonconsensual dissemination of deep fake sexual images,2023-02-08,True,False,False,False,False,,,
MN_[2023-2024]_HF-2314,gpt-3.5-turbo-0125,2023-2024,['bill'],Minnesota,MN,House,Use of facial recognition technology limited.,2023-03-01,True,False,False,False,False,,,
MN_[2023-2024]_SF-3550,gpt-3.5-turbo-0125,2023-2024,['bill'],Minnesota,MN,Senate,Deep fake election crimes modifications and disqualification of a convicted person from holding elected office provision,2024-02-10,True,False,False,False,False,,,
MN_[2023-2024]_SF-958,gpt-3.5-turbo-0125,2023-2024,['bill'],Minnesota,MN,Senate,Use of facial recognition technology limitation,2023-01-28,True,False,False,False,False,,,
MN_[2023-2024]_SF-129,gpt-3.5-turbo-0125,2023-2024,['bill'],Minnesota,MN,Senate,Acquisition and use prohibition of facial recognition technology by government entities,2023-01-11,True,False,True,False,False,,prohibiting the acquisition and use of facial recognition technology by government entities,
MN_[2023-2024]_HF-2048,gpt-3.5-turbo-0125,2023-2024,['bill'],Minnesota,MN,House,Acquisition and use of facial recognition technology by government entities prohibited.,2023-02-20,True,False,True,False,False,,prohibiting the acquisition and use of facial recognition technology by government entities,
MN_[2023-2024]_SF-1267,gpt-3.5-turbo-0125,2023-2024,['bill'],Minnesota,MN,Senate,Miscellaneous Public Safety Provisions,2023-02-03,True,False,False,False,False,,,
MN_[2023-2024]_HF-2890,gpt-3.5-turbo-0125,2023-2024,['bill'],Minnesota,MN,House,Public safety finance and policy bill.,2023-03-15,True,True,False,False,False,,,
MN_[2023-2024]_HF-252,gpt-3.5-turbo-0125,2023-2024,['bill'],Minnesota,MN,House,Use of facial recognition technology required as part of driver's licenses and Minnesota identification card application process.,2023-01-11,True,False,False,False,False,,,
MN_[2023-2024]_HF-1370,gpt-3.5-turbo-0125,2023-2024,['bill'],Minnesota,MN,House,"Cause of action for nonconsensual dissemination of deep fake sexual images established, crime of using deep fake technology to influence an election established, and crime for nonconsensual dissemination of deep fake sexual images established.",2023-02-06,True,False,False,False,False,,,
MI_[2023-2024]_HB-5141,gpt-3.5-turbo-0125,2023-2024,['bill'],Michigan,MI,House,Campaign finance: advertising; using artificial intelligence in certain political advertisements; require disclosure. Amends sec. 47 of 1976 PA 388 (MCL 169.247) & adds sec. 59.  TIE BAR WITH: HB 5143'23,2023-10-12,True,True,False,False,False,,,
OK_[2024]_SB-1975,gpt-3.5-turbo-0125,2024,['bill'],Oklahoma,OK,Senate,State government; creating the Citizen's Bill of Rights. Emergency.,2024-01-18,True,True,True,False,False,,presenting legislative findings regarding artificial intelligence; prohibiting certain entities from taking certain actions regarding artificial intelligence; requiring publication of certain report regarding artificial intelligence,
OK_[2024]_HB-3827,gpt-3.5-turbo-0125,2024,['bill'],Oklahoma,OK,House,Schools; State Department of Education; artificial intelligence; training; curriculum; revolving fund.,2024-01-19,True,True,False,False,False,,,
OK_[2024]_HB-3828,gpt-3.5-turbo-0125,2024,['bill'],Oklahoma,OK,House,State government; Office of Management and Enterprise Services; artificial intelligence; Administrative Office of the Courts; inventory; procedures; effective date.,2024-01-19,True,True,True,False,False,,"This bill directs the office of management and enterprise services to conduct inventory of artificial intelligence systems used by state agencies and establishes policies and procedures for the development, procurement, and ongoing assessment of these systems.",
OK_[2024]_HB-3825,gpt-3.5-turbo-0125,2024,['bill'],Oklahoma,OK,House,Elections; prohibiting deceptive and fraudulent deepfakes of candidates for elective office; providing for penalties; codification; effective date.,2024-01-19,True,False,False,False,False,,,
OK_[2024]_SB-1655,gpt-3.5-turbo-0125,2024,['bill'],Oklahoma,OK,Senate,Elections; prohibiting distribution of certain media within certain time period; establishing requirements for certain disclosures. Effective date.,2024-01-17,True,False,False,False,False,,,
OK_[2024]_HB-3453,gpt-3.5-turbo-0125,2024,['bill'],Oklahoma,OK,House,Artificial intelligence; Oklahoma Artificial Intelligence Bill of Rights; establishing rights; effective date.,2024-01-19,True,True,False,False,False,,,
OK_[2024]_HB-3865,gpt-3.5-turbo-0125,2024,['bill'],Oklahoma,OK,House,Crimes and punishments; expanding scope of crime to include materials and pornography generated via artificial intelligence; effective date.,2024-01-19,True,True,False,False,False,,,
OK_[2024]_HB-3293,gpt-3.5-turbo-0125,2024,['bill'],Oklahoma,OK,House,Artificial intelligence technology; creating the Oklahoma Artificial Intelligence Act of 2024; effective date.,2024-01-18,True,True,False,False,False,,,
OK_[2024]_HB-3577,gpt-3.5-turbo-0125,2024,['bill'],Oklahoma,OK,House,Health insurance; Artificial Intelligence Utilization Review Act; definitions; notice; human review; civil liability; penalties; penalty caps; effective date.,2024-01-19,True,True,False,False,False,,,
OK_[2024]_HB-3835,gpt-3.5-turbo-0125,2024,['bill'],Oklahoma,OK,House,Technology; title; Ethical Artificial Intelligence Act; deployers; developers; algorithmic discrimination; attorney general; effective date.,2024-01-19,True,True,False,False,False,,,
IN_[2024]_SB-150,gpt-3.5-turbo-0125,2024,['bill'],Indiana,IN,Senate,Artificial intelligence and cybersecurity.,2024-01-08,True,True,True,True,False,Artificial Intelligence Task Force,"provides that political subdivisions, state agencies, school corporations, and state educational institutions (public entities) may adopt a: (1) technology resources policy; and (2) cybersecurity policy; subject to specified guidelines. specifies requirements for: (1) public entities; and (2) entities other than public entities; that connect to the state technology infrastructure of indiana.",
IN_[2024]_HB-1047,gpt-3.5-turbo-0125,2024,['bill'],Indiana,IN,House,Sexual offenses.,2024-01-05,True,True,False,False,False,,,
IN_[2023]_HB-1563,gpt-3.5-turbo-0125,2023,['bill'],Indiana,IN,House,Use of facial recognition software.,2023-01-19,True,False,False,False,False,,,
CO_[2024A]_HB-24-1147,gpt-3.5-turbo-0125,2024A,['bill'],Colorado,CO,House,Candidate Election Deepfake Disclosures,2024-01-29,True,False,False,False,False,,,
CA_[20232024]_AB-1824,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Assembly,Artificial intelligence: disclosure.,2024-01-11,True,True,False,False,False,,,
CA_[20232024]_SB-942,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Senate,Consumer protection: generative artificial intelligence.,2024-01-17,True,False,False,False,False,,,
CA_[20232024]_SB-896,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Senate,Artificial Intelligence Accountability Act.,2024-01-03,True,True,True,False,False,,"this bill, the artificial intelligence accountability act, would, among other things, require the government operations agency, the department of technology, and the office of data and innovation to produce a state of california benefits and risk of generative artificial intelligence report that includes certain items, including an examination of the most significant, potentially beneficial uses for deployment of generative artificial intelligence tools by the state",
CA_[20232024]_AB-302,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Assembly,Department of Technology: high-risk automated decision systems: inventory.,2023-01-26,True,True,True,False,False,,"This bill would require the department, in coordination with other interagency bodies, to conduct, on or before september 1, 2024, a comprehensive inventory of all high-risk automated decision systems, as defined, that have been proposed for use, development, or procurement by, or are being used, developed, or procured by, state agencies, as defined.",
CA_[20232024]_AB-459,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Assembly,Contracts against public policy: personal or professional services: digital replicas.,2023-02-06,True,False,False,False,False,,,
CA_[20232024]_AB-642,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Assembly,Law enforcement agencies: facial recognition technology.,2023-02-09,True,False,False,False,False,,,
CA_[20232024]_SB-721,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Senate,California Interagency AI Working Group.,2023-02-16,True,True,True,False,False,,"the bill would, until january 1, 2030, create the california interagency ai working group to deliver a report to the legislature, as prescribed, regarding artificial intelligence.",
CA_[20232024]_SB-892,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Senate,"Public contracts: artificial intelligence services: safety, privacy, and nondiscrimination standards.",2024-01-03,True,True,False,False,False,,,
CA_[20232024]_SB-893,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Senate,California Artificial Intelligence Research Hub.,2024-01-03,True,True,True,False,False,,"the bill would require the government operations agency, the governor's office of business and economic development, and the department of technology to collaborate to establish the california artificial intelligence research hub (hub) in the government operations agency.",
CA_[20232024]_AB-1814,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Assembly,Law enforcement agencies: facial recognition technology.,2024-01-10,True,False,False,False,False,,,
CA_[20232024]_AB-1791,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Assembly,Artificial intelligence: technical open standards and content credentials.,2024-01-04,True,True,False,False,False,,,
CA_[20232024]_AB-1034,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Assembly,Law enforcement: facial recognition and other biometric surveillance.,2023-02-15,True,False,False,False,False,,,
CA_[20232024]_AB-1526,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Assembly,Public resources.,2023-02-17,True,True,False,False,False,,,
CA_[20232024]_AB-1282,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Assembly,Mental health: impacts of social media.,2023-02-16,True,True,False,False,False,,,
CA_[20232024]_SB-398,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Senate,Department of Technology: advanced technology: research.,2023-02-09,True,True,True,False,False,,"this bill, the artificial intelligence for california research act, would require the department of technology, upon appropriation by the legislature, to develop and implement a comprehensive research plan to study the feasibility of using advanced technology to improve state and local government services.",
CA_[20232024]_SB-970,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Senate,Artificial intelligence technology.,2024-01-25,True,True,True,False,False,,"this bill would require any person or entity that sells or provides access to any artificial intelligence technology that is designed to create synthetic images, video, or voice to provide a consumer warning that misuse of the technology may result in civil or criminal liability for the user.",
CA_[20232024]_AB-2013,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Assembly,Artificial intelligence: training data transparency.,2024-01-31,True,True,False,False,False,,,
CA_[20232024]_AB-331,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Assembly,Automated decision tools.,2023-01-30,True,True,True,False,False,,this bill would define 'deployer' and 'developer' to include a local government agency and would thereby impose a state-mandated local program.,
CA_[20232024]_SB-313,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Senate,Department of Technology: Office of Artificial Intelligence: state agency public interface: use of AI.,2023-02-06,True,True,True,False,False,,"this bill would enact the california ai-ware act, which would establish, within the department of technology, the office of artificial intelligence, and would grant the office the power and authority necessary to guide the design, use, and deployment of automated systems by a state agency to ensure that all ai systems are designed and deployed in a manner that is consistent with state and federal laws and regulations regarding privacy and civil liberties and that minimizes bias and promotes equitable outcomes for all californians.",
CA_[20232024]_AB-2058,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Assembly,Automated decision systems.,2024-02-01,True,True,False,False,False,,,
CA_[20232024]_AB-2200,gpt-3.5-turbo-0125,20232024,"['bill', 'appropriation']",California,CA,Assembly,Guaranteed Health Care for All.,2024-02-07,True,True,False,True,False,Calcare Board,,
CA_[20232024]_SB-1047,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Senate,Safe and Secure Innovation for Frontier Artificial Intelligence Systems Act.,2024-02-07,True,True,True,False,False,,"This bill would enact the safe and secure innovation for frontier artificial intelligence systems act to, among other things, require a developer of a covered model, as defined, to determine whether it can make a positive safety determination with respect to a covered model before initiating training of that covered model, as specified.",
CA_[20232024]_SB-933,gpt-3.5-turbo-0125,20232024,['bill'],California,CA,Senate,Crimes: child pornography.,2024-01-16,True,True,True,False,False,,"this bill would, for the purposes of those provisions, include an image generated through the use of artificial intelligence as a computer-generated image.",
IA_[2023-2024]_HSB-599,gpt-3.5-turbo-0125,2023-2024,['proposed bill'],Iowa,IA,House,"A bill for an act relating to the conduct of elections, including the use of artificial intelligence and deceptive statements, and providing penalties.",2024-01-23,True,True,False,False,False,,,
CT_[2024]_SB-5,gpt-3.5-turbo-0125,2024,['bill'],Connecticut,CT,Senate,AN ACT CONCERNING SCHOOL RESOURCES.,2024-02-07,True,True,False,False,False,,,
CT_[2024]_SB-2,gpt-3.5-turbo-0125,2024,['bill'],Connecticut,CT,Senate,AN ACT CONCERNING ARTIFICIAL INTELLIGENCE.,2024-02-07,True,True,True,False,False,,"each state agency shall study how generative artificial intelligence may be incorporated in its processes to improve efficiencies. each state agency shall solicit input from its employees concerning such incorporation, including, but not limited to, any applicable collective bargaining unit that represents its employees and appropriate experts from civil society organizations, academia and industry.",
CT_[2023]_SB-730,gpt-3.5-turbo-0125,2023,['bill'],Connecticut,CT,Senate,AN ACT REQUIRING DISCLOSURE OF THE USE OF FACIAL RECOGNITION TECHNOLOGY IN PUBLIC SPACES.,2023-01-18,True,False,False,False,False,,,
